																
	Streaming Audio				Users	Download App										
	OnAir	Programma	Serie	WebRadio	Media giorno	iOS	Android									
Pre	7.582	1.422	27	198	10048	73	143									
Durante	3.958	1.233	24	170	7508	64	140									
Post	6.924	1.395	26	210	9045	68	142									
																
INSTAGRAM																
	Post	Post	Post	Carousel	Carousel	Carousel	Reels	Reels	Reels	Reels						
	Numero	ER%	Reach	Numero	ER%	Reach	Numero	Plays	ER%	 Reach 						
Pre	7	4,2%	 33.760 	19	4,2%	 33.172 	12	 52.247 	2,7%	 48.983 						
Durante	 -   	 -   	 -   	 -   	 -   	 -   	6	 44.973 	2,9%	 40.841 						
Post	7	3,7%	 48.566 	16	3,6%	 38.135 	17	 105.700 	3,2%	 95.645 						
